gender,token,freq,rank,percentage
f_terms,cunt,98885,0,35.69
f_terms,her,67144,1,24.23
f_terms,she,28295,2,10.21
f_terms,whore,19261,3,6.95
f_terms,slut,16787,4,6.06
f_terms,doe,7061,5,2.55
f_terms,pussy,6301,6,2.27
f_terms,ms,5816,7,2.1
f_terms,tit,5501,8,1.99
f_terms,girl,4411,9,1.59
f_terms,women,3053,10,1.1
f_terms,mom,3006,11,1.08
f_terms,mother,2569,12,0.93
f_terms,woman,2426,13,0.88
f_terms,wife,2042,14,0.74
f_terms,fem,1440,15,0.52
f_terms,hoe,865,16,0.31
f_terms,gal,847,17,0.31
f_terms,sister,806,18,0.29
f_terms,cow,572,19,0.21
m_terms,he,227842,0,59.37
m_terms,his,40070,1,10.44
m_terms,king,36119,2,9.41
m_terms,men,13803,3,3.6
m_terms,man,12456,4,3.25
m_terms,him,11254,5,2.93
m_terms,son,10222,6,2.66
m_terms,dick,5846,7,1.52
m_terms,guy,5672,8,1.48
m_terms,bro,3301,9,0.86
m_terms,ape,3110,10,0.81
m_terms,dad,2718,11,0.71
m_terms,boy,2251,12,0.59
m_terms,bull,2213,13,0.58
m_terms,dude,1980,14,0.52
m_terms,fucker,1454,15,0.38
m_terms,lad,1070,16,0.28
m_terms,pop,867,17,0.23
m_terms,husband,774,18,0.2
m_terms,sir,755,19,0.2
both_terms,cunt,96307,0,55.46
both_terms,whore,18587,1,10.7
both_terms,slut,15472,2,8.91
both_terms,pussy,6194,3,3.57
both_terms,dick,4868,4,2.8
both_terms,man,4538,5,2.61
both_terms,guy,3979,6,2.29
both_terms,women,3031,7,1.75
both_terms,men,2732,8,1.57
both_terms,girl,2612,9,1.5
both_terms,woman,2376,10,1.37
both_terms,wife,1961,11,1.13
both_terms,dude,1738,12,1.0
both_terms,guys,1657,13,0.95
both_terms,mom,1610,14,0.93
both_terms,cunts,1553,15,0.89
both_terms,mother,1471,16,0.85
both_terms,dad,1048,17,0.6
both_terms,girls,1015,18,0.58
both_terms,son,896,19,0.52
