gender,token,freq,rank,percentage
f_terms,her,49315,0,56.57
f_terms,she,10455,1,11.99
f_terms,ms,8427,2,9.67
f_terms,doe,6619,3,7.59
f_terms,tit,2460,4,2.82
f_terms,mom,1604,5,1.84
f_terms,women,1438,6,1.65
f_terms,girl,1298,7,1.49
f_terms,gal,1023,8,1.17
f_terms,woman,728,9,0.84
f_terms,mother,640,10,0.73
f_terms,fem,601,11,0.69
f_terms,wife,595,12,0.68
f_terms,sister,387,13,0.44
f_terms,hoe,382,14,0.44
f_terms,daughter,378,15,0.43
f_terms,cow,255,16,0.29
f_terms,chick,202,17,0.23
f_terms,dame,197,18,0.23
f_terms,lady,172,19,0.2
m_terms,he,249624,0,70.35
m_terms,his,31716,1,8.94
m_terms,men,16815,2,4.74
m_terms,king,13502,3,3.81
m_terms,man,11925,4,3.36
m_terms,son,10146,5,2.86
m_terms,him,5876,6,1.66
m_terms,bro,2588,7,0.73
m_terms,guy,2528,8,0.71
m_terms,ape,1929,9,0.54
m_terms,stud,1402,10,0.4
m_terms,pop,1347,11,0.38
m_terms,bull,879,12,0.25
m_terms,boy,858,13,0.24
m_terms,lad,774,14,0.22
m_terms,dude,645,15,0.18
m_terms,bud,637,16,0.18
m_terms,dad,596,17,0.17
m_terms,gent,552,18,0.16
m_terms,husband,500,19,0.14
both_terms,man,1882,0,13.48
both_terms,guy,1499,1,10.74
both_terms,women,1404,2,10.06
both_terms,men,1193,3,8.55
both_terms,guys,1006,4,7.21
both_terms,woman,700,5,5.01
both_terms,mom,676,6,4.84
both_terms,girl,641,7,4.59
both_terms,wife,579,8,4.15
both_terms,dude,542,9,3.88
both_terms,mother,472,10,3.38
both_terms,husband,466,11,3.34
both_terms,dad,465,12,3.33
both_terms,girls,409,13,2.93
both_terms,father,367,14,2.63
both_terms,son,357,15,2.56
both_terms,brother,338,16,2.42
both_terms,daughter,329,17,2.36
both_terms,female,320,18,2.29
both_terms,sister,314,19,2.25
